,logFC,logCPM,F,PValue,FDR
CD74,-4.625853793763657,12.369884266370418,2372.319578044919,7.817185440499076e-20,2.419418893834464e-16
IGJ,-7.7213720534603105,6.205477605728268,738.7292917109569,8.143457529878899e-18,1.2602000527487596e-14
LINC00926,-8.309191878708127,5.727979626595121,595.6768436218985,1.643420129411067e-17,1.6954617668424174e-14
CD79B,-5.717297359738479,7.297526680170884,1126.863738859849,2.345100980728016e-17,1.8145218838383024e-14
AL928768.3,-7.327639648122435,5.1896830832068455,442.4070769171166,9.457360705741708e-17,5.854106276854117e-14
CD79A,-6.527560922442896,9.470413729274043,854.8048868681635,4.4079852555273916e-16,1.9489591951224683e-13
IGLL5,-10.061497407341335,7.2826048169333335,949.5632396286939,7.267621024432051e-16,2.4992541189574664e-13
ADAM28,-6.550867251192705,5.746165581617754,429.97975983912977,8.901057014522343e-16,2.754877145994665e-13
IRF8,-5.379550495313101,6.6699511384284635,525.002895455524,4.748696351490633e-15,8.165119559924173e-13
ACP5,-4.7580923653926614,6.3725148448173465,616.9000514832599,6.572635027536129e-15,1.0171152705112159e-12
HLA-DMB,-6.383950676284096,6.174771482896854,431.19676036737843,1.2452935920294161e-14,1.4274754323448308e-12
CTSH,-4.986647077391057,6.4667659867073235,569.1288408465725,1.3747830569523027e-14,1.5196262718812061e-12
HLA-DMA,-4.999298775279165,7.428287123068868,553.0140116015592,1.4958758868961756e-14,1.5964606448081597e-12
HERPUD1,-2.803949252206875,9.811854963966132,551.1604186469688,1.7650671089820815e-14,1.820960900766514e-12
HLA-DRA,-6.297325031205275,11.75311296708699,547.4214786102638,1.870826460271473e-14,1.867808998238777e-12
HVCN1,-5.427224068040855,6.479686473768205,502.7969499871356,3.095327120947327e-14,2.817658070391758e-12
SYNGR2,-3.443349696429825,7.613951553582464,484.39650965543126,5.208128392064164e-14,4.523635024824501e-12
CD40,-5.206194664303127,6.2753066890264115,443.9768353283851,5.2617402550462686e-14,4.523635024824501e-12
CHPT1,-3.1366967777076984,6.6586080054764745,455.87662224284844,8.741652200571114e-14,6.863298887804812e-12
TCL1A,-9.022023375997504,6.121141058434178,520.7559798722644,9.636496548025022e-14,7.274379711253034e-12
KIAA0226L,-7.053726298789449,6.310518130128685,317.8234790282702,1.4201087008882412e-13,1.0221480068021179e-11
