,logFC,logCPM,F,PValue,FDR
CD3E,4.610397259401732,8.132056260672908,758.9770447329208,1.2722257066918874e-16,6.562564270352319e-14
GIMAP5,5.275618710783717,8.010078344261096,523.8934892256378,7.212961592218803e-16,2.4992541189574664e-13
NKG7,5.427480799600863,8.135846355613653,447.4371172249289,1.049542186606177e-15,2.9530300614055617e-13
IL32,5.373877599347774,7.938645433168866,437.81682141793675,1.8502153674463365e-15,4.77201380187201e-13
CD2,5.2141728588899285,8.738834735486458,558.3786697469044,2.1072901024392103e-15,4.906123014566551e-13
CD3D,5.078475910947284,9.391334054850867,659.786064358078,2.2192478902724303e-15,4.906123014566551e-13
LEPROTL1,3.4120303993506083,8.69901321658756,680.3639543924734,2.854710081944682e-15,5.890218469079194e-13
CD7,5.293566809603912,8.588565062451828,503.1923283138138,3.3542507946666423e-15,6.488378880933286e-13
AMICA1,5.622711022204655,7.015546929594159,309.89840040961144,4.112328984619597e-15,7.486857769057443e-13
GNLY,4.670921198625783,8.302299160772238,451.04621560591323,5.587029461730837e-15,9.100976938977337e-13
TRAT1,5.027102792955676,8.135475891158025,442.47966468796665,7.118737869581444e-15,1.0491663669692651e-12
IL7R,4.395732053378654,8.537469098470167,525.6378502264906,8.870578572253276e-15,1.2479291218692678e-12
LAT,4.3819956438965475,7.918539367442011,465.9284333674142,9.590419576064646e-15,1.2739101162951673e-12
GIMAP4,5.52414464083513,7.8883694200523635,358.16006195746996,9.8784629373454e-15,1.2739101162951673e-12
GIMAP7,5.462494285826737,9.544746619892331,502.64599269200716,1.1758846833807883e-14,1.4274754323448308e-12
LCK,4.595010550048417,8.149861813461648,435.87345650829644,1.2434359794538818e-14,1.4274754323448308e-12
ANXA1,4.79712736040733,10.238960305640383,546.0109478656119,2.0353112121146235e-14,1.9481749982375195e-12
CD8A,5.08045395633777,6.940902336088371,303.53916868225684,2.077214053048082e-14,1.9481749982375195e-12
GIMAP1,5.240020507228368,7.084993188594355,273.2979101237158,6.756411392497608e-14,5.651646826967593e-12
CAMK4,4.094820359554216,6.589920556980731,287.9508780492267,7.004603380606697e-14,5.705065121836244e-12
TIGIT,5.259872198331171,6.566283105302779,224.89883735097112,8.870176268568416e-14,6.863298887804812e-12
CD247,4.925222703514295,7.1575306504427285,265.77667411232744,1.2966411344548082e-13,9.555010264613408e-12
CD3G,4.932069839804204,7.456036894404984,271.1916617496349,2.367456780761294e-13,1.5928866818383054e-11
FYN,3.9999058485774035,7.776937370625411,342.51079094298103,3.4224447821343383e-13,2.1281456635044826e-11
CD6,4.71322585186727,7.205536902587089,251.13437924426452,3.6944159438484264e-13,2.1988879511944e-11
TMSB4X,1.4289262703189265,14.7454256767258,363.70858721982796,5.497906779694971e-13,3.038575264849274e-11
PTPRC,2.104101825844987,9.400264139111302,362.0250103636588,5.762362123895403e-13,3.074915650595909e-11
ITM2A,3.5672385321068374,8.447826537656896,350.52155791676563,7.705666978293608e-13,3.974839882969786e-11
TMEM173,4.851555808286913,5.950359446628083,191.05620467985887,8.025214234988845e-13,4.0718095175886026e-11
LEF1,4.50466973277775,7.2449816116819346,204.4546790709532,2.3056021167548864e-12,1.0194055073366247e-10
CD5,3.657392224050733,5.888696206588672,186.21746260220505,2.4505789547906497e-12,1.0682453331094452e-10
RARRES3,3.0674316269019313,7.989574946680981,295.35286226110276,2.6598322840261897e-12,1.1247636448039672e-10
