,LN,Wilcoxon,t-test,replicate
f1,0.7076923076923077,0.632258064516129,0.7045454545454546,0
accuracy,0.9717961405244928,0.9717961405244928,0.9742701632855022,0
recall,0.69,0.49,0.62,0
precision,0.7263157894736842,0.8909090909090909,0.8157894736842105,0
tpr,0.69,0.49,0.62,0
tnr,0.9864653826132223,0.9968766267568975,0.9927121290994274,0
fpr,0.01353461738677772,0.0031233732431025507,0.007287870900572618,0
fnr,0.31,0.51,0.38,0
f1,0.7953216374269005,0.662251655629139,0.7530864197530864,1
accuracy,0.9826818406729342,0.974764967837704,0.9802078179119248,1
recall,0.68,0.5,0.61,1
precision,0.9577464788732394,0.9803921568627451,0.9838709677419355,1
tpr,0.68,0.5,0.61,1
tnr,0.9984383133784487,0.9994794377928162,0.9994794377928162,1
fpr,0.0015616866215512754,0.0005205622071837585,0.0005205622071837585,1
fnr,0.32,0.5,0.39,1
f1,0.8409090909090909,0.6490066225165563,0.7407407407407407,2
accuracy,0.9861523244312562,0.9737883283877349,0.9792284866468842,2
recall,0.74,0.49,0.6,2
precision,0.9736842105263158,0.9607843137254902,0.967741935483871,2
tpr,0.74,0.49,0.6,2
tnr,0.9989594172736732,0.9989594172736732,0.9989594172736732,2
fpr,0.001040582726326743,0.001040582726326743,0.001040582726326743,2
fnr,0.26,0.51,0.4,2
f1,0.8415300546448088,0.6842105263157895,0.7816091954022989,3
accuracy,0.9856364536899456,0.9762258543833581,0.9811788013868251,3
recall,0.77,0.52,0.68,3
precision,0.927710843373494,1.0,0.918918918918919,3
tpr,0.77,0.52,0.68,3
tnr,0.9968733715476811,1.0,0.9968733715476811,3
fpr,0.003126628452318916,0.0,0.003126628452318916,3
fnr,0.23,0.48,0.32,3
f1,0.7544910179640718,0.5915492957746479,0.6496815286624205,4
accuracy,0.9797230464886251,0.9713155291790306,0.9727992087042532,4
recall,0.63,0.42,0.51,4
precision,0.9402985074626866,1.0,0.8947368421052632,4
tpr,0.63,0.42,0.51,4
tnr,0.9979188345473465,1.0,0.9968782518210197,4
fpr,0.002081165452653486,0.0,0.003121748178980229,4
fnr,0.37,0.58,0.49,4
f1,0.7796610169491525,0.6040268456375839,0.6410256410256411,5
accuracy,0.9807026224641266,0.9708065314200891,0.9722909450766947,5
recall,0.69,0.45,0.5,5
precision,0.8961038961038961,0.9183673469387755,0.8928571428571429,5
tpr,0.69,0.45,0.5,5
tnr,0.9958355023425299,0.9979177511712649,0.9968766267568975,5
fpr,0.004164497657470068,0.002082248828735034,0.0031233732431025507,5
fnr,0.31,0.55,0.5,5
f1,0.7613636363636364,0.5774647887323944,0.6709677419354839,6
accuracy,0.9792182088075211,0.9703117268678871,0.974764967837704,6
recall,0.67,0.41,0.52,6
precision,0.881578947368421,0.9761904761904762,0.9454545454545454,6
tpr,0.67,0.41,0.52,6
tnr,0.9953149401353462,0.9994794377928162,0.9984383133784487,6
fpr,0.004685059864653826,0.0005205622071837585,0.0015616866215512754,6
fnr,0.33,0.59,0.48,6
f1,0.8181818181818181,0.7374999999999999,0.7544910179640718,7
accuracy,0.9841662543295399,0.9792182088075211,0.9797130133597229,7
recall,0.72,0.59,0.63,7
precision,0.9473684210526315,0.9833333333333333,0.9402985074626866,7
tpr,0.72,0.59,0.63,7
tnr,0.9979177511712649,0.9994794377928162,0.9979177511712649,7
fpr,0.002082248828735034,0.0005205622071837585,0.002082248828735034,7
fnr,0.28,0.41,0.37,7
f1,0.7710843373493975,0.5815602836879432,0.6883116883116882,8
accuracy,0.9811974270163285,0.9708065314200891,0.9762493814943097,8
recall,0.64,0.41,0.53,8
precision,0.9696969696969697,1.0,0.9814814814814815,8
tpr,0.64,0.41,0.53,8
tnr,0.9989588755856325,1.0,0.9994794377928162,8
fpr,0.001041124414367517,0.0,0.0005205622071837585,8
fnr,0.36,0.59,0.47,8
f1,0.853932584269663,0.6883116883116882,0.7484662576687117,9
