Gene,true_log2_fc,sparsity_g1,sparsity_g2,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gene1,0,0.889558232931727,0.900212314225053,0.4714373827563,0.309784437026901,0.11,0.1,1
Gene2,0,0.993975903614458,0.987261146496815,0.276490259488326,-1.29460837444541,0.006,0.013,1
Gene3,0,0.983935742971888,0.983014861995754,0.823622323196523,-0.351761764642881,0.016,0.017,1
Gene4,0,0.939759036144578,0.968152866242038,0.0458895211199133,0.975204953396238,0.06,0.032,1
Gene5,0,0.905622489959839,0.932059447983015,0.146236397482343,0.590875330547294,0.094,0.068,1
Gene6,0,0.789156626506024,0.853503184713376,0.00445035752061887,0.764344131653076,0.211,0.146,1
Gene7,0,0.927710843373494,0.929936305732484,0.693948899136428,0.438930836432718,0.072,0.07,1
Gene8,2.74877883833925,0.78714859437751,0.961783439490446,1.10785276012082e-16,2.68702123345967,0.213,0.038,3.96168147019206e-13
Gene9,0,0.662650602409639,0.687898089171975,0.204636620300204,0.259473548820346,0.337,0.312,1
Gene10,0,0.748995983935743,0.757961783439491,0.452640203250966,0.472313718772067,0.251,0.242,1
Gene11,-3.93256854619605,0.943775100401606,0.64755838641189,2.29782124907997e-31,-3.38744388604419,0.056,0.352,8.21700878670998e-28
Gene12,0,0.869477911646586,0.906581740976645,0.0440513734655902,0.652929025925524,0.131,0.093,1
Gene13,0,0.987951807228916,0.987261146496815,0.859895228958924,-0.767884580510333,0.012,0.013,1
Gene14,0,0.991967871485944,0.989384288747346,0.920581899826844,1.42409690431112,0.008,0.011,1
Gene15,0.996339629171401,0.919678714859438,0.976645435244161,6.72795716946485e-06,3.06269037983946,0.08,0.023,0.0240591748380063
Gene16,0,0.919678714859438,0.910828025477707,0.890874681400458,0.441600264428165,0.08,0.089,1
Gene17,0,0.917670682730924,0.915074309978769,0.77808467823137,-0.120886383012298,0.082,0.085,1
Gene18,0,0.710843373493976,0.736730360934183,0.246482411436727,0.355049768999963,0.289,0.263,1
Gene19,0,0.977911646586345,0.983014861995754,0.420232548390671,0.920755477824752,0.022,0.017,1
Gene20,1.13529182361602,0.668674698795181,0.895966029723992,6.50536718994288e-18,1.62744587462134,0.331,0.104,2.32631930712358e-14
Gene21,0,0.969879518072289,0.995753715498939,0.00138364029450837,3.50735526061891,0.03,0.004,1
Gene22,-0.896970359031687,0.911646586345381,0.849256900212314,0.00192965399466154,-0.935169508915051,0.088,0.151,1
Gene23,0,0.829317269076305,0.853503184713376,0.22198046537696,0.363670029626108,0.171,0.146,1
Gene24,0,0.716867469879518,0.726114649681529,0.46531397423487,0.382362168651473,0.283,0.274,1
Gene25,0,0.92570281124498,0.9447983014862,0.231998361301234,0.490509873883933,0.074,0.055,1
Gene26,0,0.809236947791165,0.881104033970276,0.00310622388118693,0.420891813297975,0.191,0.119,1
Gene27,0,0.933734939759036,0.949044585987261,0.443793152613948,0.29879907286657,0.066,0.051,1
Gene28,0,0.897590361445783,0.86411889596603,0.123706181329287,-0.458676043505752,0.102,0.136,1
Gene29,0,0.92570281124498,0.923566878980892,0.895408843043954,-0.148387576246637,0.074,0.076,1
Gene30,0,0.891566265060241,0.929936305732484,0.0191118778891287,0.935712460201555,0.108,0.07,1
Gene31,0,0.951807228915663,0.951167728237792,0.836485191747513,0.362058321337777,0.048,0.049,1
Gene32,0,0.933734939759036,0.932059447983015,,,,,
Gene33,0,0.869477911646586,0.89171974522293,0.333562029143584,0.323796745894186,0.131,0.108,1
Gene34,0,0.759036144578313,0.764331210191083,0.943209457825577,0.110233187975834,0.241,0.236,1
Gene35,0,0.779116465863454,0.819532908704883,0.0568610460810097,0.702235240182946,0.221,0.18,1
Gene36,0,0.937751004016064,0.940552016985138,0.968916842595069,-0.330366878518898,0.062,0.059,1
Gene37,0,0.881526104417671,0.910828025477707,0.0564249962417856,0.651158542960569,0.118,0.089,1
Gene38,0,0.967871485943775,0.968152866242038,0.923318272193078,-0.326196920211445,0.032,0.032,1
Gene39,0,0.937751004016064,0.976645435244161,0.00145520330682073,2.05495613466146,0.062,0.023,1
Gene40,0,0.839357429718876,0.857749469214437,0.384166126685528,0.251155350143622,0.161,0.142,1
Gene41,0,0.887550200803213,0.898089171974522,0.532709802600016,0.202246870028561,0.112,0.102,1
Gene42,0,0.965863453815261,0.966029723991507,,,,,
Gene43,-1.07467826732964,0.963855421686747,0.934182590233546,0.0394276358671785,-0.894851950965123,0.036,0.066,1
Gene44,1.11460321858329,0.913654618473896,0.9723991507431,7.62167227725376e-05,1.49943431646561,0.086,0.028,0.272551000634595
Gene45,3.00285495879084,0.771084337349398,0.968152866242038,7.8881228407068e-20,3.05625114102569,0.229,0.032,2.82079272783675e-16
Gene46,1.19110474626974,0.799196787148594,0.900212314225053,2.45168266403017e-06,1.38002288705526,0.201,0.1,0.0087672172065719
Gene47,0,0.57429718875502,0.651804670912951,0.00890121847486327,0.374407251034234,0.426,0.348,1
Gene48,0,0.93574297188755,0.938428874734607,,,,,
Gene49,-0.965248217288473,1,1,,,,,
Gene50,0,0.873493975903615,0.89171974522293,0.336429596160109,0.44598001356597,0.127,0.108,1
Gene51,0,0.92570281124498,0.927813163481953,0.667733896712527,0.247258220690716,0.074,0.072,1
Gene52,0,0.967871485943775,0.985138004246284,0.054941176680759,1.70344430212518,0.032,0.015,1
Gene53,0,0.975903614457831,0.974522292993631,0.713623024157207,-0.724278355006109,0.024,0.025,1
Gene54,3.252943808989,0.883534136546185,0.985138004246284,1.22326399950605e-10,3.44313041689923,0.116,0.015,4.37439206223362e-07
Gene55,0,0.742971887550201,0.785562632696391,0.104491758134698,0.395595249815902,0.257,0.214,1
Gene56,0,0.865461847389558,0.89171974522293,0.197190323951728,0.299703553478482,0.135,0.108,1
Gene57,0,0.965863453815261,0.970276008492569,0.41158189620176,1.00788618528525,0.034,0.03,1
Gene58,0.825558352591878,0.941767068273092,0.966029723991507,0.0585764529998057,0.915638787554528,0.058,0.034,1
Gene59,0,0.973895582329317,0.985138004246284,0.221204588472378,0.663091964669794,0.026,0.015,1
Gene60,0,0.831325301204819,0.86411889596603,0.144725369545728,0.310755125986306,0.169,0.136,1
Gene61,-2.68198417013577,0.903614457831325,0.585987261146497,9.37118821643541e-32,-2.59248135973697,0.096,0.414,3.3511369061973e-28
Gene62,0,0.963855421686747,0.974522292993631,0.392364696660547,0.581638401540401,0.036,0.025,1
Gene63,0,0.881526104417671,0.851380042462845,0.163942690590592,-0.298377861487099,0.118,0.149,1
Gene64,0,0.92570281124498,0.94692144373673,0.107993269277938,0.892435658286573,0.074,0.053,1
Gene65,0,0.885542168674699,0.925690021231422,0.0295141967035189,0.602561181073491,0.114,0.074,1
Gene66,0,0.819277108433735,0.874734607218684,0.0166051566405638,0.48314470736511,0.181,0.125,1
Gene67,0,0.875502008032129,0.885350318471338,0.605316549750087,0.267342900225933,0.124,0.115,1
Gene68,-0.569171637282235,0.917670682730924,0.893842887473461,0.127221012676873,-0.606683132308511,0.082,0.106,1
Gene69,0,0.847389558232932,0.874734607218684,0.191101963487533,0.468495720513995,0.153,0.125,1
Gene70,0,0.897590361445783,0.874734607218684,0.573699019340236,0.39574379289839,0.102,0.125,1
Gene71,0,0.853413654618474,0.870488322717622,0.341204839874521,0.352999717528629,0.147,0.13,1
