method,accuracy,precision,recall,tpr,tnr,fpr,fnr,f1,dispersion,rep_no
DELN,0.49,0.1677927927927928,0.8514285714285714,0.8514285714285714,0.4422641509433962,0.5577358490566038,0.14857142857142858,0.2803386641580433,0.1,0
Scanpy t-test,0.6006666666666667,0.20473537604456823,0.84,0.84,0.5690566037735849,0.4309433962264151,0.16,0.3292273236282195,0.1,0
Scanpy t-test_overestim_var,0.6006666666666667,0.20473537604456823,0.84,0.84,0.5690566037735849,0.4309433962264151,0.16,0.3292273236282195,0.1,0
Scanpy wilcoxon,0.3606666666666667,0.13837638376383765,0.8571428571428571,0.8571428571428571,0.29509433962264153,0.7049056603773585,0.14285714285714285,0.23828435266084197,0.1,0
DELN,0.582,0.1814516129032258,0.8823529411764706,0.8823529411764706,0.5478841870824054,0.4521158129175947,0.11764705882352941,0.3010033444816054,0.1,1
Scanpy t-test,0.6686666666666666,0.21895424836601307,0.8758169934640523,0.8758169934640523,0.6451373422420194,0.3548626577579807,0.12418300653594772,0.3503267973856209,0.1,1
Scanpy t-test_overestim_var,0.6686666666666666,0.21895424836601307,0.8758169934640523,0.8758169934640523,0.6451373422420194,0.3548626577579807,0.12418300653594772,0.3503267973856209,0.1,1
Scanpy wilcoxon,0.37466666666666665,0.12654614652711704,0.869281045751634,0.869281045751634,0.3184855233853007,0.6815144766146993,0.13071895424836602,0.22093023255813954,0.1,1
DELN,0.698,0.2198581560283688,0.9051094890510949,0.9051094890510949,0.6771826852531181,0.32281731474688186,0.0948905109489051,0.3537803138373752,0.1,2
Scanpy t-test,0.7746666666666666,0.27616926503340755,0.9051094890510949,0.9051094890510949,0.7615553925165077,0.2384446074834923,0.0948905109489051,0.42320819112627983,0.1,2
Scanpy t-test_overestim_var,0.7746666666666666,0.27616926503340755,0.9051094890510949,0.9051094890510949,0.7615553925165077,0.2384446074834923,0.0948905109489051,0.42320819112627983,0.1,2
Scanpy wilcoxon,0.4,0.12190287413280476,0.8978102189781022,0.8978102189781022,0.3499633162142333,0.6500366837857667,0.10218978102189781,0.21465968586387438,0.1,2
DELN,0.638,0.20212765957446807,0.8807947019867549,0.8807947019867549,0.6108228317272053,0.38917716827279464,0.11920529801324503,0.3288009888751545,0.1,3
Scanpy t-test,0.7186666666666667,0.2467289719626168,0.8741721854304636,0.8741721854304636,0.7012601927353596,0.2987398072646405,0.12582781456953643,0.38483965014577254,0.1,3
Scanpy t-test_overestim_var,0.7186666666666667,0.2467289719626168,0.8741721854304636,0.8741721854304636,0.7012601927353596,0.2987398072646405,0.12582781456953643,0.38483965014577254,0.1,3
Scanpy wilcoxon,0.37133333333333335,0.12285714285714286,0.8543046357615894,0.8543046357615894,0.3172720533728688,0.6827279466271312,0.1456953642384106,0.21482098251457118,0.1,3
DELN,0.65,0.20754716981132076,0.8627450980392157,0.8627450980392157,0.6258351893095768,0.3741648106904232,0.13725490196078433,0.3346007604562738,0.1,4
